                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.1713,                0.95074,                 1.6747,                0.70523,                0.75567,                0.76166,                0.48233,                 1.4427,                0.92735,                 2.1193,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1353,                0.93793,                  1.683,                0.73228,                0.71997,                0.75539,                0.47348,                 1.5943,                0.93667,                 2.3319,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0711,                0.94093,                 1.6199,                0.71053,                0.77529,                0.76375,                0.48515,                 1.4486,                0.96684,                 2.1582,               0.000218,               0.000218,               0.000218
                     93,                  1.019,                 0.8322,                 1.5379,                 0.7236,                0.75792,                0.75974,                0.48695,                 1.4033,                0.91606,                 2.1387,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.1484,                0.90789,                 1.5924,                0.80333,                0.75262,                  0.818,                 0.5066,                 1.5345,                0.86253,                 2.1499,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0486,                0.81908,                 1.5967,                0.88843,                0.73684,                0.83058,                0.51763,                 1.4591,                0.90528,                 2.0441,              0.0001586,              0.0001586,              0.0001586
                     96,                0.98999,                  0.807,                 1.5569,                0.88337,                0.68421,                0.83941,                0.53927,                 1.3833,                0.91837,                 2.0159,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0221,                0.88407,                 1.5828,                0.91685,                0.71053,                0.82472,                0.53418,                 1.4272,                0.81729,                  2.096,               0.000119,               0.000119,               0.000119
                     98,                0.96433,                0.77533,                  1.519,                0.87077,                0.71053,                0.84638,                0.53465,                 1.4731,                 0.8246,                 2.2164,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.93479,                0.77834,                 1.5181,                0.89591,                0.71053,                0.84428,                0.53833,                 1.4585,                0.81841,                 2.2053,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.95352,                 0.8048,                 1.5455,                0.82864,                0.76351,                0.87573,                0.54925,                 1.4475,                 0.8364,                 2.1156,               5.96e-05,               5.96e-05,               5.96e-05
